0,1,2
0.0,7.8,0.0
0.1,7.8,0.0
0.2,7.8,0.0
0.3,7.8,0.0
0.4,7.8,0.0
0.5,7.8,0.0
0.6,7.8,0.0
0.7,7.8,0.0
0.8,7.8,0.0
0.9,7.8,0.0
1.0,7.8,0.0
1.1,7.8,0.0
1.2,7.8,0.0
1.3,7.8,0.0
1.4,7.8,0.0
1.5,7.8,0.0
1.6,7.8,0.0
1.7,7.8,0.0
1.8,7.8,0.0
1.9,7.8,0.0
2.0,7.8,0.0
2.1,7.8,0.0
2.2,7.8,0.0
2.3,7.8,0.0
2.4,7.8,0.0
2.5,7.8,0.0
2.6,7.8,0.0
2.7,7.8,0.0
2.8,7.8,0.0
2.9,7.8,0.0
3.0,7.8,0.0
3.1,7.8,0.0
3.2,7.8,0.0
3.3,7.8,0.0
3.4,7.8,0.0
3.5,7.8,0.0
3.6,7.8,0.0
3.7,7.8,0.0
3.8,7.8,0.0
3.9,7.8,0.0
4.0,7.8,0.0
4.1,7.8,0.0
4.2,7.8,0.0
4.3,7.8,0.0
4.4,7.8,0.0
4.5,7.8,0.0
4.6,7.8,0.0
4.7,7.8,0.0
4.8,7.8,0.0
4.9,7.8,0.0
5.0,7.8,5.3
5.1,7.8,5.3
5.2,7.8,5.3
5.3,7.8,5.3
5.4,7.8,5.3
5.5,7.8,5.3
5.6,7.8,5.3
5.7,7.8,5.3
5.8,7.8,5.3
5.9,7.8,5.3
6.0,7.8,5.3
6.1,7.8,5.3
6.2,7.8,5.3
6.3,7.8,5.3
6.4,7.8,5.3
6.5,7.8,5.3
6.6,7.8,5.3
6.7,7.8,5.3
6.8,7.8,5.3
6.9,7.8,5.3
7.0,7.8,5.3
7.1,7.8,5.3
7.2,7.8,5.3
7.3,7.8,5.3
7.4,7.8,5.3
7.5,7.8,5.3
7.6,7.8,5.3
7.7,7.8,5.3
7.8,7.8,5.3
7.9,7.8,5.3
8.0,7.8,5.3
8.1,7.8,5.3
8.2,7.8,5.3
8.3,7.8,5.3
8.4,7.8,5.3
8.5,7.8,5.3
8.6,7.8,5.3
8.7,7.8,5.3
8.8,7.8,5.3
8.9,7.8,5.3
9.0,7.8,5.3
9.1,7.8,5.3
9.2,7.8,5.3
9.3,7.8,5.3
9.4,7.8,5.3
9.5,7.8,5.3
9.6,7.8,5.3
9.7,7.8,5.3
9.8,7.8,5.3
9.9,7.8,5.3
10.0,7.8,5.3
10.1,7.8,5.3
10.2,7.8,5.3
10.3,7.8,5.3
10.4,7.8,5.3
10.5,7.8,5.3
10.6,7.8,5.3
10.7,7.8,5.3
10.8,7.8,5.3
10.9,7.8,5.3
11.0,7.8,5.3
11.1,7.8,5.3
11.2,7.8,5.3
11.3,7.8,5.3
11.4,7.8,5.3
11.5,7.8,5.3
11.6,7.8,5.3
11.7,7.8,5.3
11.8,7.8,5.3
11.9,7.8,5.3
12.0,7.8,5.3
12.1,7.8,5.3
12.2,7.8,5.3
12.3,7.8,5.3
12.4,7.8,5.3
12.5,7.8,5.3
12.6,7.8,5.3
12.7,7.8,5.3
12.8,7.8,5.3
12.9,7.8,5.3
13.0,7.8,5.3
13.1,7.8,5.3
13.2,7.8,5.3
13.3,7.8,5.3
13.4,7.8,5.3
13.5,7.8,5.3
13.6,7.8,5.3
13.7,7.8,5.3
13.8,7.8,5.3
13.9,7.8,5.3
14.0,7.8,5.3
14.1,7.8,5.3
14.2,7.8,5.3
14.3,7.8,5.3
14.4,7.8,5.3
14.5,7.8,5.3
14.6,7.8,5.3
14.7,7.8,5.3
14.8,7.8,5.3
14.9,7.8,5.3
15.0,7.8,5.3
15.1,7.8,5.3
15.2,7.8,5.3
15.3,7.8,5.3
15.4,7.8,5.3
15.5,7.8,5.3
15.6,7.8,5.3
15.7,7.8,5.3
15.8,7.8,5.3
15.9,7.8,5.3
16.0,7.8,5.3
16.1,7.8,5.3
16.2,7.8,5.3
16.3,7.8,5.3
16.4,7.8,5.3
16.5,7.8,5.3
16.6,7.8,5.3
16.7,7.8,5.3
16.8,7.8,5.3
16.9,7.8,5.3
17.0,7.8,5.3
17.1,7.8,5.3
17.2,7.8,5.3
17.3,7.8,5.3
17.4,7.8,5.3
17.5,7.8,5.3
17.6,7.8,5.3
17.7,7.8,5.3
17.8,7.8,5.3
17.9,7.8,5.3
18.0,7.8,5.3
18.1,7.8,5.3
18.2,7.8,5.3
18.3,7.8,5.3
18.4,7.8,5.3
18.5,7.8,5.3
18.6,7.8,5.3
18.7,7.8,5.3
18.8,7.8,5.3
18.9,7.8,5.3
19.0,7.8,5.3
19.1,7.8,5.3
19.2,7.8,5.3
19.3,7.8,5.3
19.4,7.8,5.3
19.5,7.8,5.3
19.6,7.8,5.3
19.7,7.8,5.3
19.8,7.8,5.3
19.9,7.8,5.3
20.0,7.8,5.3
20.1,7.8,5.3
20.2,7.8,5.3
20.3,7.8,5.3
20.4,7.8,5.3
20.5,7.8,5.3
20.6,7.8,5.3
20.7,7.8,5.3
20.8,7.8,5.3
20.9,7.8,5.3
21.0,7.8,5.3
21.1,7.8,5.3
21.2,7.8,5.3
21.3,7.8,5.3
21.4,7.8,5.3
21.5,7.8,5.3
21.6,7.8,5.3
21.7,7.8,5.3
21.8,7.8,5.3
21.9,7.8,5.3
22.0,7.8,5.3
22.1,7.8,5.3
22.2,7.8,5.3
22.3,7.8,5.3
22.4,7.8,5.3
22.5,7.8,5.3
22.6,7.8,5.3
22.7,7.8,5.3
22.8,7.8,5.3
22.9,7.8,5.3
23.0,7.8,5.3
23.1,7.8,5.3
23.2,7.8,5.3
23.3,7.8,5.3
23.4,7.8,5.3
23.5,7.8,5.3
23.6,7.8,5.3
23.7,7.8,5.3
23.8,7.8,5.3
23.9,7.8,5.3
24.0,7.8,5.3
24.1,7.8,5.3
24.2,7.8,5.3
24.3,7.8,5.3
24.4,7.8,5.3
24.5,7.8,5.3
24.6,7.8,5.3
24.7,7.8,5.3
24.8,7.8,5.3
24.9,7.8,5.3
25.0,7.8,5.3
25.1,7.8,5.3
25.2,7.8,5.3
25.3,7.8,5.3
